epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.121,2.52881,1.82435,0.88561,0,0,0,0,1.48744,2.31732,0.35499,0.0672129,0.000331183,0.000331183
2,214.248,2.38106,1.69818,0.87707,0,0,0,0,2.3391,3.7015,0.54473,0.0340813,0.000532942,0.000532942
3,320.969,2.16941,1.45504,0.8547,0,0,0,0,1.84936,3.47916,0.39737,0.000817755,0.000602701,0.000602701
4,444.373,2.13652,1.48083,0.84834,0,0,0,0,1.54414,2.63076,0.3603,0.000406,0.000406,0.000406
5,566.595,1.98759,1.31788,0.84218,0,0,0,0,2.10633,3.35705,0.50252,0.000208,0.000208,0.000208
