epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1510.18,3.57741,21.4778,1.06409,0,0,0,0,0,18.235,0,0.0678462,0.000324786,0.000324786
2,2362.67,3.04827,2.87152,0.9761,0,0,0,0,2.7284,8.92162,0.61833,0.0348396,0.000651604,0.000651604
3,3285.26,2.67622,2.18145,0.90805,0,0,0,0,3.02525,8.94938,0.76789,0.00182652,0.000971822,0.000971822
4,4158.4,2.43288,1.90901,0.89515,0,0,0,0,3.16023,9.42957,0.71842,0.0009703,0.0009703,0.0009703
